Contract,Company,Division,NAICS,NAICS2,Remarks,JobsKOJ,JobsDescription,Code,Rationale
2025-04537-000,"EVERETT (CITY OF), MASSACHUSETTS",CITY SERVICES,921190,,CITY SERVICES FACILITY. SEE AGMT FOR COVERED DEPTS.,"Brick and stone masons and tile setters (861); Building and related service occupations, n.e.c. (389); Mechanics and machinery repairers, n.e.c. (639); Plumbers, gas fitters, steam fitters and related occupations (862)","CUSTODIAN; MAINT., WATER SYSTM; MECHANIC, MAINT.; PLUMBER; TILER",Correctly Single-Coded,"All facilities/maintenance trades (masons, custodians, mechanics, plumbers) for city services building - homogeneous maintenance unit"
2025-04525-000,"LAKEVIEW (TOWN OF), OREGON",GENERAL UNIT,921190,,ADDITIONAL WORKSITE: N 2ND & STAMPER STREETS LAKEVIEW OR 97630.,"Information and reception clerks (237); Mechanics and machinery repairers, n.e.c. (639); Utilities service mechanics and repairers (637)","LEAD, PUBWRK MAINT.; MAINTENANCE, PUBWRK; RECORDER, TOWN",Should Have NAICS2,Mix of clerical (Town Recorder) and public works maintenance - distinct service areas
2023-05936-000,"SUNNYSIDE (CITY OF), WASHINGTON",,920000,,COVERS DIVISION SUPERVISORS. SEE AGMT. FOR DIVISIONS COVERED.,"Building and related service occupations, n.e.c. (389); Excavating, grading, paving, and related occupations, n.e.c. (859); Occupations in disposal of refuse and sewage (955); Occupations in entertainment and recreation, n.e.c. (159); Occupations in filtr","SUPERVSR, PARKS; SUPERVSR, STREET; SUPERVSR, WATER DEP; SUPERVSR, WSTWTR; SUPRVSR, EQPMT SVCS",Should Have NAICS2,"Supervisors cover parks, streets, water, wastewater, equipment services - explicitly multiple departments"
2025-04481-000,"ANCHORAGE (MUNICIPALITY OF), ALASKA",,921190,,PUBLIC SERVICE EMPLOYEES FOR THE MUNICIPALITY OF ANCHORAGE.,"Helper (999); Occupations in disposal of refuse and sewage (955); Packaging and materials handling occupations, n.e.c. (929); Passenger transportation occupations (913); Utilities service mechanics and repairers (637)","LEADMAN, REFUSE; OPERATOR, BUS; OPERATOR, SIDELOAD; SWAMPER; TECH, REFUSE REPAIR",Should Have NAICS2,Mix of transit (bus drivers 485xxx) and refuse collection (562xxx) - different NAICS families
2024-00689-000,"KITTITAS (CITY OF), WASHINGTON",,922120,926130.0,"COVERS OFFICE, POLICE, AND PUBLIC WORKS DEPARTMENTS","Government service clerks, n.e.c. (243); Occupations in disposal of refuse and sewage (955); Packaging and materials handling occupations, n.e.c. (929); Police officers and detectives, public service (375)","CLERK, DEPUTY; CLERK, TREASURER; OFFICER, POLICE; OPERATOR, WW PLANT; WORKER, UTILITY",Already Has NAICS2,Correctly coded with 922120 + 926130 for police + public works/office
2024-05180-000,"MAHONING (TOWNSHIP OF), PENNSYLVANIA",ROAD DEPARTMENT,237310,,COVERS ROAD DEPARTMENT WORKERS.,"Excavating, grading, paving, and related occupations, n.e.c. (859)","LEADER, CREW; ROAD-MASTER",Correctly Single-Coded,Road department only - homogeneous highway workers
2025-04474-000,"BROOKINGS (CITY OF), SOUTH DAKOTA",,921190,,COVERS GENERAL UNIT.  SEE AGMT. FOR DEPARTMENTS COVERED.,"Excavating, grading, paving, and related occupations, n.e.c. (859); Forest conservation occupations (452); Inspectors and investigators, managerial and public service (168); Motorized vehicle and engineering equipment mechanics and repairers (620); Occupa","COLLECTOR, WASTE; INSPECTOR, BUILDING; MECHANIC; TECH, FORSETRY; TECH, STREET MAINT",Should Have NAICS2,"Mix of building inspection, waste collection, forestry, street maintenance - multiple distinct functions"
2024-00584-000,"MAIDENCREEK (TOWNSHIP OF), PENNSYLVANIA",,926130,,,"Laborer (998); Mechanics and machinery repairers, n.e.c. (639); Stenography, typing, filing and related occupations, n.e.c. (209); Truck drivers, light (906)","CLERK, TOWNSHIP; DRIVER, CDL; LABORER; MECHANIC",Should Have NAICS2,Mix of township clerks and public works laborers/drivers/mechanics - distinct service areas
2025-04262-000,"GRANTS PASS (CITY OF), OREGON",,921190,,FIELD EMPLOYEES UNIT. INCLUDES FULL TEXT CBA (2023-05499-000) AND MOA.,"Gardening and groundskeeping occupations (406); Occupations in disposal of refuse and sewage (955); Occupations in filtration, purification and distribution of water (954); Occupations in production and distribution of utilities, n.e.c. (959)","FORESTER, URBAN; SPECIALIST, MUN SVC; SPECIALIST, TREAT; WORKER, MUNICIPAL; WORKER, UTILITY",Correctly Single-Coded,All field employees in water/sewer/grounds - homogeneous utility operations
2025-04261-000,"MILLTOWN (VILLAGE OF), WISCONSIN",,921190,,COVERS REGULAR FULL AND PART TIME EMPLOYEES.,"Billing and rate clerks (214); Laborer (998); Librarians (100); Secretaries (201); Stenography, typing, filing and related occupations, n.e.c. (209)","ASSISTANT, OFFICE; CLERK, UTILITY; CLERK, VILLAGE; CREWMAN; DIRECTOR, LIBRARY",Should Have NAICS2,Includes LIBRARY DIRECTOR (519120) distinct from general admin - library is separate NAICS
2023-05669-000,"OWENSVILLE (TOWN OF), INDIANA",,926130,926120.0,SEE AGMT FOR DEPARTMENTS COVERED.,"Government service clerks, n.e.c. (243); Laborer (998); Occupations in production and distribution of utilities, n.e.c. (959)","CLERK, DEPUTY; LABORER; SUPERINTENDENT, STR; SUPRNTNDT, WTR-SWR",Already Has NAICS2,Correctly coded with 926130 + 926120 for multiple departments
2025-03977-000,"MERCER (COUNTY OF), NEW JERSEY",ENGINEERS PROFESSIONAL,921190,,,"Occupations in architecture, engineering and surveying, n.e.c. (019)","ENGINEER, ASSISTANT; ENGINEER, PRINCIPAL; ENGINEER, SENIOR",Correctly Single-Coded,Engineers professional unit only - single function
